index,team,type,x,y,endX,endY
11,France,Pass,48.0,50.0,48.0,60.0
24,France,Pass,49.0,80.0,46.0,61.0
25,France,Pass,65.0,64.0,66.0,69.0
28,France,Pass,63.0,73.0,65.0,79.0
29,France,Pass,58.0,79.0,26.0,69.0
30,France,Pass,26.0,69.0,8.0,43.0
31,France,Pass,8.0,43.0,19.0,29.0
32,France,Pass,41.0,30.0,56.0,28.0
33,France,Pass,55.0,27.0,39.0,23.0
34,France,Pass,42.0,25.0,69.0,26.0
35,France,Pass,69.0,26.0,65.0,26.0
36,France,Pass,65.0,26.0,61.0,31.0
37,France,Pass,61.0,31.0,45.0,48.0
38,France,Pass,45.0,48.0,55.0,66.0
39,France,Pass,57.0,76.0,98.0,66.0
45,France,Pass,74.0,79.0,62.0,75.0
46,France,Pass,2.0,62.0,7.0,80.0
49,France,Pass,12.0,64.0,40.0,80.0
63,France,Pass,11.0,5.0,8.0,15.0
64,France,Pass,9.0,15.0,11.0,3.0
65,France,Pass,11.0,3.0,8.0,13.0
66,France,Pass,9.0,16.0,55.0,18.0
74,France,Pass,26.0,4.0,14.0,14.0
75,France,Pass,14.0,13.0,15.0,11.0
76,France,Pass,4.0,38.0,15.0,65.0
77,France,Pass,26.0,64.0,35.0,55.0
78,France,Pass,34.0,55.0,26.0,29.0
79,France,Pass,47.0,8.0,55.0,12.0
80,France,Pass,55.0,12.0,47.0,10.0
81,France,Pass,47.0,10.0,55.0,10.0
82,France,Pass,54.0,15.0,45.0,41.0
83,France,Pass,54.0,46.0,60.0,74.0
84,France,Pass,57.0,71.0,46.0,64.0
85,France,Pass,45.0,60.0,41.0,31.0
86,France,Pass,45.0,30.0,55.0,5.0
87,France,Pass,57.0,4.0,99.0,1.0
99,France,Pass,20.0,7.0,22.0,7.0
103,France,Pass,25.0,33.0,27.0,27.0
104,France,Pass,29.0,36.0,94.0,43.0
105,France,Pass,94.0,43.0,85.0,40.0
112,France,Pass,10.0,32.0,33.0,22.0
134,France,Pass,7.0,42.0,76.0,49.0
135,France,Pass,76.0,49.0,68.0,53.0
136,France,Pass,68.0,53.0,80.0,20.0
137,France,Pass,101.0,1.0,104.0,12.0
139,France,Pass,78.0,5.0,62.0,6.0
140,France,Pass,63.0,8.0,57.0,34.0
141,France,Pass,58.0,47.0,67.0,78.0
142,France,Pass,67.0,70.0,54.0,64.0
143,France,Pass,51.0,60.0,58.0,66.0
144,France,Pass,49.0,67.0,14.0,52.0
145,France,Pass,14.0,43.0,72.0,28.0
149,France,Pass,54.0,28.0,56.0,3.0
150,France,Pass,56.0,3.0,66.0,6.0
151,France,Pass,66.0,6.0,52.0,9.0
152,France,Pass,52.0,9.0,44.0,26.0
153,France,Pass,44.0,26.0,46.0,49.0
154,France,Pass,52.0,53.0,65.0,79.0
156,France,Pass,62.0,79.0,43.0,74.0
157,France,Pass,42.0,71.0,41.0,34.0
158,France,Pass,56.0,27.0,120.0,74.0
168,France,Pass,7.0,44.0,77.0,54.0
181,France,Pass,36.0,3.0,35.0,12.0
182,France,Pass,35.0,12.0,43.0,5.0
183,France,Pass,44.0,7.0,50.0,31.0
184,France,Pass,48.0,34.0,56.0,75.0
185,France,Pass,55.0,73.0,56.0,72.0
186,France,Pass,45.0,63.0,29.0,54.0
187,France,Pass,27.0,53.0,39.0,31.0
188,France,Pass,45.0,30.0,53.0,29.0
189,France,Pass,53.0,29.0,46.0,23.0
190,France,Pass,49.0,24.0,98.0,50.0
194,France,Pass,91.0,78.0,57.0,64.0
195,France,Pass,57.0,55.0,66.0,7.0
196,France,Pass,79.0,6.0,102.0,44.0
197,France,Pass,95.0,51.0,107.0,66.0
198,France,Pass,118.0,61.0,115.0,56.0
200,France,Pass,81.0,69.0,92.0,56.0
201,France,Pass,93.0,56.0,113.0,40.0
211,France,Pass,20.0,18.0,33.0,17.0
212,France,Pass,34.0,12.0,34.0,2.0
213,France,Pass,34.0,2.0,45.0,10.0
215,France,Pass,6.0,42.0,79.0,39.0
217,France,Pass,91.0,1.0,54.0,3.0
218,France,Pass,48.0,3.0,25.0,30.0
219,France,Pass,25.0,30.0,79.0,3.0
221,France,Pass,67.0,4.0,87.0,25.0
227,France,Pass,57.0,25.0,64.0,35.0
228,France,Pass,64.0,35.0,90.0,50.0
234,France,Pass,7.0,43.0,77.0,50.0
237,France,Pass,81.0,27.0,85.0,3.0
238,France,Pass,85.0,3.0,110.0,16.0
241,France,Pass,68.0,6.0,81.0,26.0
242,France,Pass,81.0,26.0,80.0,55.0
244,France,Pass,68.0,78.0,94.0,54.0
248,France,Pass,43.0,17.0,66.0,24.0
249,France,Pass,66.0,24.0,73.0,25.0
251,France,Pass,32.0,51.0,32.0,16.0
252,France,Pass,32.0,5.0,35.0,4.0
253,France,Pass,40.0,1.0,64.0,4.0
258,France,Pass,53.0,1.0,67.0,12.0
259,France,Pass,67.0,12.0,79.0,6.0
261,France,Pass,63.0,26.0,48.0,72.0
262,France,Pass,54.0,75.0,67.0,79.0
263,France,Pass,67.0,79.0,70.0,71.0
264,France,Pass,70.0,71.0,104.0,76.0
273,France,Pass,98.0,79.0,101.0,72.0
274,France,Pass,110.0,80.0,111.0,62.0
275,France,Pass,69.0,44.0,16.0,41.0
276,France,Pass,18.0,43.0,70.0,74.0
277,France,Pass,70.0,74.0,91.0,56.0
283,France,Pass,23.0,2.0,36.0,8.0
284,France,Pass,37.0,8.0,46.0,20.0
298,France,Pass,16.0,1.0,33.0,2.0
302,France,Pass,35.0,2.0,55.0,3.0
306,France,Pass,53.0,2.0,56.0,1.0
315,France,Pass,18.0,39.0,89.0,58.0
317,France,Pass,120.0,79.0,118.0,49.0
325,France,Pass,15.0,51.0,75.0,60.0
326,France,Pass,74.0,60.0,73.0,77.0
327,France,Pass,119.0,75.0,108.0,48.0
349,France,Pass,28.0,49.0,77.0,55.0
363,France,Pass,7.0,45.0,68.0,46.0
366,France,Pass,42.0,38.0,56.0,29.0
367,France,Pass,52.0,29.0,48.0,32.0
368,France,Pass,48.0,32.0,38.0,34.0
369,France,Pass,38.0,34.0,65.0,51.0
372,France,Pass,18.0,34.0,97.0,47.0
378,France,Pass,70.0,22.0,70.0,28.0
379,France,Pass,80.0,38.0,120.0,61.0
386,France,Pass,23.0,77.0,58.0,73.0
387,France,Pass,61.0,41.0,24.0,49.0
388,France,Pass,24.0,49.0,83.0,78.0
391,France,Pass,71.0,78.0,81.0,73.0
392,France,Pass,81.0,73.0,76.0,59.0
393,France,Pass,76.0,59.0,68.0,61.0
394,France,Pass,66.0,59.0,56.0,32.0
395,France,Pass,65.0,24.0,76.0,30.0
396,France,Pass,76.0,30.0,82.0,25.0
402,France,Pass,13.0,37.0,36.0,61.0
403,France,Pass,38.0,61.0,38.0,77.0
404,France,Pass,44.0,77.0,42.0,70.0
405,France,Pass,43.0,68.0,49.0,78.0
406,France,Pass,56.0,77.0,99.0,58.0
407,France,Pass,102.0,56.0,95.0,43.0
426,France,Pass,6.0,43.0,68.0,48.0
427,France,Pass,68.0,48.0,68.0,36.0
428,France,Pass,68.0,36.0,66.0,4.0
429,France,Pass,67.0,2.0,72.0,10.0
432,France,Pass,27.0,30.0,83.0,26.0
435,France,Pass,56.0,25.0,64.0,37.0
436,France,Pass,64.0,38.0,80.0,63.0
439,France,Pass,22.0,54.0,18.0,63.0
440,France,Pass,18.0,63.0,45.0,1.0
444,France,Pass,6.0,44.0,73.0,55.0
445,France,Pass,73.0,55.0,67.0,55.0
462,France,Pass,36.0,4.0,35.0,12.0
467,France,Pass,27.0,6.0,25.0,15.0
471,France,Pass,46.0,40.0,36.0,42.0
472,France,Pass,47.0,53.0,98.0,75.0
476,France,Pass,45.0,72.0,47.0,75.0
482,France,Pass,3.0,77.0,18.0,79.0
485,France,Pass,85.0,62.0,91.0,67.0
487,France,Pass,65.0,53.0,78.0,49.0
489,France,Pass,73.0,43.0,85.0,43.0
490,France,Pass,92.0,34.0,101.0,22.0
503,France,Pass,70.0,1.0,97.0,11.0
505,France,Pass,45.0,28.0,56.0,35.0
506,France,Pass,56.0,40.0,66.0,74.0
507,France,Pass,70.0,76.0,82.0,78.0
516,France,Pass,16.0,22.0,74.0,30.0
522,France,Pass,14.0,2.0,36.0,4.0
523,France,Pass,36.0,4.0,32.0,7.0
524,France,Pass,32.0,7.0,48.0,5.0
525,France,Pass,48.0,5.0,39.0,25.0
526,France,Pass,39.0,25.0,101.0,69.0
527,France,Pass,116.0,57.0,111.0,45.0
528,France,Pass,106.0,44.0,99.0,41.0
532,France,Pass,47.0,76.0,52.0,57.0
533,France,Pass,58.0,50.0,65.0,20.0
534,France,Pass,66.0,21.0,57.0,28.0
535,France,Pass,59.0,16.0,68.0,3.0
536,France,Pass,68.0,5.0,64.0,25.0
537,France,Pass,64.0,26.0,98.0,15.0
538,France,Pass,109.0,4.0,113.0,41.0
539,France,Pass,120.0,79.0,117.0,49.0
540,France,Pass,98.0,79.0,103.0,76.0
541,France,Pass,111.0,77.0,106.0,72.0
542,France,Pass,106.0,72.0,113.0,76.0
573,France,Pass,66.0,28.0,76.0,45.0
574,France,Pass,75.0,48.0,55.0,43.0
575,France,Pass,55.0,43.0,64.0,30.0
576,France,Pass,64.0,30.0,65.0,7.0
577,France,Pass,70.0,6.0,78.0,3.0
578,France,Pass,78.0,3.0,58.0,5.0
579,France,Pass,59.0,7.0,56.0,19.0
580,France,Pass,56.0,19.0,56.0,6.0
581,France,Pass,55.0,6.0,68.0,4.0
582,France,Pass,93.0,14.0,92.0,38.0
588,France,Pass,26.0,48.0,35.0,42.0
589,France,Pass,35.0,42.0,28.0,41.0
590,France,Pass,28.0,41.0,32.0,31.0
591,France,Pass,30.0,19.0,25.0,17.0
592,France,Pass,27.0,18.0,28.0,26.0
593,France,Pass,40.0,25.0,35.0,5.0
594,France,Pass,35.0,5.0,26.0,7.0
595,France,Pass,26.0,7.0,35.0,4.0
597,France,Pass,21.0,27.0,25.0,36.0
598,France,Pass,39.0,42.0,60.0,78.0
599,France,Pass,61.0,78.0,55.0,66.0
600,France,Pass,55.0,65.0,48.0,43.0
601,France,Pass,50.0,43.0,47.0,27.0
602,France,Pass,47.0,27.0,53.0,40.0
603,France,Pass,53.0,40.0,47.0,53.0
604,France,Pass,47.0,58.0,57.0,79.0
605,France,Pass,55.0,77.0,44.0,72.0
606,France,Pass,42.0,71.0,51.0,50.0
607,France,Pass,51.0,50.0,60.0,59.0
608,France,Pass,61.0,59.0,68.0,51.0
609,France,Pass,70.0,52.0,106.0,31.0
613,France,Pass,69.0,7.0,40.0,20.0
614,France,Pass,29.0,26.0,5.0,38.0
630,France,Pass,11.0,80.0,17.0,77.0
631,France,Pass,17.0,77.0,9.0,78.0
632,France,Pass,9.0,78.0,64.0,49.0
637,France,Pass,7.0,43.0,70.0,37.0
638,France,Pass,70.0,37.0,83.0,41.0
640,France,Pass,82.0,12.0,79.0,18.0
642,France,Pass,22.0,29.0,88.0,26.0
643,France,Pass,88.0,26.0,97.0,17.0
644,France,Pass,57.0,25.0,79.0,37.0
645,France,Pass,56.0,16.0,45.0,5.0
646,France,Pass,42.0,3.0,73.0,3.0
647,France,Pass,70.0,2.0,83.0,5.0
648,France,Pass,83.0,5.0,89.0,7.0
650,France,Pass,68.0,7.0,107.0,5.0
651,France,Pass,79.0,4.0,105.0,7.0
653,France,Pass,17.0,29.0,87.0,45.0
655,France,Pass,73.0,49.0,82.0,76.0
656,France,Pass,82.0,78.0,65.0,77.0
657,France,Pass,65.0,77.0,57.0,58.0
658,France,Pass,57.0,58.0,89.0,60.0
659,France,Pass,89.0,60.0,80.0,45.0
660,France,Pass,88.0,40.0,95.0,27.0
661,France,Pass,92.0,26.0,91.0,27.0
672,France,Pass,27.0,47.0,24.0,46.0
673,France,Pass,24.0,46.0,26.0,49.0
674,France,Pass,26.0,49.0,35.0,45.0
678,France,Pass,74.0,57.0,78.0,46.0
679,France,Pass,78.0,46.0,73.0,38.0
680,France,Pass,83.0,28.0,113.0,14.0
681,France,Pass,98.0,2.0,103.0,14.0
682,France,Pass,103.0,14.0,101.0,1.0
689,France,Pass,53.0,26.0,79.0,27.0
703,France,Pass,75.0,53.0,81.0,51.0
705,France,Pass,45.0,49.0,103.0,47.0
712,France,Pass,2.0,77.0,13.0,77.0
713,France,Pass,10.0,78.0,11.0,64.0
714,France,Pass,11.0,64.0,45.0,69.0
715,France,Pass,45.0,69.0,47.0,78.0
743,France,Pass,17.0,46.0,47.0,44.0
750,France,Pass,63.0,44.0,87.0,61.0
755,France,Pass,30.0,76.0,35.0,78.0
756,France,Pass,29.0,78.0,61.0,77.0
766,France,Pass,35.0,49.0,39.0,49.0
772,France,Pass,6.0,44.0,71.0,73.0
773,France,Pass,72.0,70.0,99.0,67.0
777,France,Pass,56.0,65.0,74.0,77.0
778,France,Pass,82.0,77.0,103.0,75.0
790,France,Pass,18.0,27.0,107.0,53.0
804,France,Pass,6.0,40.0,66.0,60.0
805,France,Pass,67.0,61.0,70.0,71.0
806,France,Pass,70.0,71.0,77.0,76.0
807,France,Pass,75.0,77.0,81.0,67.0
808,France,Pass,86.0,69.0,105.0,78.0
811,France,Pass,58.0,27.0,81.0,12.0
817,France,Pass,25.0,24.0,38.0,8.0
818,France,Pass,38.0,8.0,35.0,23.0
819,France,Pass,37.0,24.0,45.0,27.0
820,France,Pass,48.0,19.0,65.0,3.0
821,France,Pass,65.0,3.0,64.0,4.0
822,France,Pass,66.0,2.0,83.0,4.0
826,France,Pass,86.0,53.0,108.0,61.0
830,France,Pass,41.0,3.0,56.0,4.0
831,France,Pass,102.0,3.0,109.0,44.0
834,France,Pass,79.0,11.0,95.0,5.0
836,France,Pass,35.0,49.0,51.0,47.0
837,France,Pass,34.0,47.0,36.0,42.0
842,France,Pass,15.0,79.0,63.0,79.0
845,France,Pass,70.0,58.0,97.0,66.0
847,France,Pass,31.0,61.0,68.0,80.0
851,France,Pass,18.0,31.0,52.0,25.0
